"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID6935895","GID6935895","Bed5IR",82,122,6.357757503,95
"GID6935896","GID6935896","Bed5IR",75,114,5.927698229,100
"GID6935906","GID6935906","Bed5IR",96,135,6.004334926,107
"GID6935910","GID6935910","Bed5IR",94,133,6.441835319,102
"GID6935916","GID6935916","Bed5IR",89,123,6.092132683,100
"GID6935918","GID6935918","Bed5IR",89,126,6.119057391,102
"GID6935925","GID6935925","Bed5IR",90,126,6.306556701,97
"GID6935926","GID6935926","Bed5IR",89,126,6.581854064,100
"GID6935928","GID6935928","Bed5IR",89,126,6.531259427,102
"GID6935930","GID6935930","Bed5IR",89,124,6.523074791,100
"GID6935931","GID6935931","Bed5IR",92,128,5.969503154,105
